company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,delay_minutes,ground_time_ratio,is_tight_ground,total_passengers,total_lap_children,total_child_passengers,total_stroller_users,total_basic_economy_pax,total_ssr_count,unique_pnr_count,child_passenger_ratio,basic_economy_ratio,ssr_per_passenger,stroller_ratio,avg_pax_per_pnr,total_bags,num_hot_transfer_bags,num_transfer_bags,load_factor,bags_per_passenger,hot_transfer_ratio,load_category,ssr_level,dep_date,interpretable_raw,interpretable_score,interpretable_rank,interpretable_class,ml_predicted_delay,ml_difficulty_score,ml_daily_rank,ml_difficulty_class
OO,4792,2025-08-04,ORD,ROA,2025-08-04 17:57:00+00:00,2025-08-04T21:04:00Z,2025-08-04 18:04:00+00:00,2025-08-04T20:52:00Z,76,ERJ-175,Express,42,34,34,7.0,1.0,0,3.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,0.3333333333333333,1.0,1.0,1.0,42.0,16.0,36.0,0.039473684210526314,14.0,0.38095238095238093,High,Very High SSR,2025-08-04,14.769205989179984,0.24889074964791244,422,Easy,20.598959674043805,0.05714799191449675,91,Difficult
UA,920,2025-08-03,ORD,LHR,2025-08-03 18:05:00+00:00,2025-08-04T08:20:00Z,2025-08-03 18:27:00+00:00,2025-08-04T08:06:00Z,167,B767-300,Mainline,235,229,145,22.0,1.5793103448275863,0,6.0,0.0,3.0,3.0,0.0,3.0,3.0,0.5,0.0,0.5,0.5,2.0,143.0,16.0,53.0,0.03592814371257485,23.833333333333332,0.11188811188811189,High,Medium SSR,2025-08-03,27.900561371572238,0.6056764039180549,32,Difficult,12.621423384073326,0.0646224689122046,153,Difficult
UA,1776,2025-08-10,ORD,PHL,2025-08-10 18:20:00+00:00,2025-08-10T21:35:00Z,2025-08-10 20:11:00+00:00,2025-08-10T23:26:00Z,166,B737-800,Mainline,76,69,51,111.0,1.3529411764705883,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,39.0,0.0,0.0,0.011764705882352941,Low,Low SSR,2025-08-10,23.39563193624251,0.2607393036289198,438,Easy,15.159043872315321,0.029016047587674943,231,Medium
OO,5790,2025-08-06,ORD,CRW,2025-08-06 18:20:00+00:00,2025-08-06T21:04:00Z,2025-08-06 20:05:00+00:00,2025-08-06T22:42:00Z,50,CRJ-200,Express,223,38,29,105.0,1.3103448275862069,0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.5,54.0,0.0,40.0,0.06,18.0,0.0,Very High,High SSR,2025-08-06,26.2836833114066,0.24778799242094957,377,Easy,80.56317591067625,0.25834639458897807,68,Difficult
UA,1398,2025-08-05,ORD,ATL,2025-08-05 18:20:00+00:00,2025-08-05T21:29:00Z,2025-08-05 18:16:00+00:00,2025-08-05T21:49:00Z,166,B737-800,Mainline,75,72,51,-4.0,1.411764705882353,0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,70.0,0.0,51.0,0.012048192771084338,35.0,0.0,Medium,Very High SSR,2025-08-05,35.92211104644427,0.5649907071732044,92,Difficult,5.673687053578114,0.04967121330679499,227,Medium
OO,5470,2025-08-07,ORD,GEG,2025-08-07 08:40:00+00:00,2025-08-07T10:56:00Z,2025-08-07 08:36:00+00:00,2025-08-07T10:43:00Z,76,ERJ-175,Express,49,44,34,-4.0,1.2941176470588236,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,26.0,0.0,0.0,0.075,Low,Low SSR,2025-08-07,18.945993015682397,0.4793189836078061,140,Difficult,10.09442515152848,0.039324624111521926,214,Medium
UA,374,2025-08-15,ORD,MSP,2025-08-15 16:10:00+00:00,2025-08-15T17:49:00Z,2025-08-15 16:38:00+00:00,2025-08-15T18:24:00Z,126,A319-100,Mainline,54,41,43,28.0,0.9534883720930233,0,7.0,0.0,3.0,3.0,0.0,3.0,3.0,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,2.3333333333333335,83.0,2.0,62.0,0.05555555555555555,11.857142857142858,0.024096385542168676,Very High,Medium SSR,2025-08-15,28.0865432413503,0.3773886117862118,285,Medium,23.01342521614441,0.05170803762716604,136,Difficult
UA,1577,2025-08-15,ORD,SFO,2025-08-15 14:40:00+00:00,2025-08-15T17:26:00Z,2025-08-15 14:39:00+00:00,2025-08-15T17:11:00Z,234,B757-300,Mainline,123,134,66,-1.0,2.0303030303030303,0,3.0,0.0,2.0,2.0,1.0,2.0,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.5,149.0,0.0,66.0,0.01282051282051282,49.666666666666664,0.0,Medium,High SSR,2025-08-15,30.615874773477,0.4148528391453681,197,Medium,3.078438565690662,0.013335328251141079,413,Easy
UA,881,2025-08-03,ORD,HND,2025-08-03 12:50:00+00:00,2025-08-04T15:55:00Z,2025-08-03 13:15:00+00:00,2025-08-04T16:01:00Z,318,B787-10,Mainline,365,407,155,25.0,2.6258064516129034,0,14.0,0.0,8.0,8.0,0.0,8.0,8.0,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,1.75,348.0,15.0,246.0,0.0440251572327044,24.857142857142858,0.04310344827586207,Very High,High SSR,2025-08-03,46.267207728201456,0.9812020590835704,3,Difficult,26.75990602648235,0.12059286590833301,77,Difficult
UA,2006,2025-08-09,ORD,GUA,2025-08-09 09:14:00+00:00,2025-08-09T12:45:00Z,2025-08-09 09:24:00+00:00,2025-08-09T12:57:00Z,166,B737-MAX8,Mainline,90,126,65,10.0,1.9384615384615385,0,37.0,0.0,28.0,28.0,12.0,28.0,25.0,0.7567567567567568,0.32432432432432434,0.7567567567567568,0.7567567567567568,1.48,190.0,0.0,59.0,0.22289156626506024,5.135135135135135,0.0,Very High,Very High SSR,2025-08-09,6.532238490871027,0.08962915474538863,515,Easy,12.649158911247195,0.031913116934570905,189,Medium
UA,307,2025-08-14,ORD,COS,2025-08-14 09:15:00+00:00,2025-08-14T11:08:00Z,2025-08-14 09:11:00+00:00,2025-08-14T10:44:00Z,179,B737-MAX9,Mainline,94,85,56,-4.0,1.5178571428571428,0,4.0,0.0,2.0,2.0,1.0,2.0,2.0,0.5,0.25,0.5,0.5,2.0,85.0,6.0,30.0,0.0223463687150838,21.25,0.07058823529411765,High,Medium SSR,2025-08-14,18.54033116927648,0.14624935697887595,473,Easy,3.521200627553188,0.015993198606856777,395,Easy
UA,1538,2025-08-08,ORD,SAV,2025-08-08 11:05:00+00:00,2025-08-08T14:34:00Z,2025-08-08 10:59:00+00:00,2025-08-08T14:11:00Z,126,B737-700,Mainline,100,108,43,-6.0,2.511627906976744,0,7.0,0.0,3.0,3.0,0.0,3.0,2.0,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,3.5,87.0,0.0,18.0,0.05555555555555555,12.428571428571429,0.0,Very High,Medium SSR,2025-08-08,-0.4220538788289474,0.48517696800914545,527,Easy,-1.2929719232220467,0.00401962708867487,526,Easy
UA,1006,2025-08-02,ORD,LGA,2025-08-02 18:00:00+00:00,2025-08-02T21:20:00Z,2025-08-02 19:00:00+00:00,2025-08-02T22:10:00Z,166,B737-800,Mainline,63,55,51,60.0,1.0784313725490196,0,16.0,0.0,8.0,8.0,0.0,8.0,6.0,0.5,0.0,0.5,0.5,2.6666666666666665,73.0,4.0,36.0,0.0963855421686747,4.5625,0.0547945205479452,Very High,Medium SSR,2025-08-02,9.23088982474599,0.2416699550911051,470,Easy,17.37561731650504,0.03977748177410119,137,Difficult
G7,4395,2025-08-14,ORD,TVC,2025-08-14 18:15:00+00:00,2025-08-14T20:38:00Z,2025-08-14 19:41:00+00:00,2025-08-14T21:46:00Z,50,CRJ-550,Express,132,124,29,86.0,4.275862068965517,0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,37.0,3.0,34.0,0.04,18.5,0.08108108108108109,High,Very High SSR,2025-08-14,25.38017504866429,0.2540208966960579,169,Difficult,15.094548088081213,0.041375649626890325,185,Difficult
UA,1538,2025-08-06,ORD,SAV,2025-08-06 11:05:00+00:00,2025-08-06T14:34:00Z,2025-08-06 10:57:00+00:00,2025-08-06T14:09:00Z,126,B737-700,Mainline,95,81,43,-8.0,1.8837209302325582,0,7.0,0.0,5.0,5.0,2.0,5.0,5.0,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.7142857142857143,1.4,69.0,0.0,31.0,0.05555555555555555,9.857142857142858,0.0,Very High,High SSR,2025-08-06,27.953310308496494,0.2779075067440771,349,Easy,3.083032540058362,0.02402658859186063,321,Medium
UA,2138,2025-08-08,ORD,LGA,2025-08-08 14:05:00+00:00,2025-08-08T17:27:00Z,2025-08-08 14:01:00+00:00,2025-08-08T17:13:00Z,166,B737-800,Mainline,62,87,51,-4.0,1.7058823529411764,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,21.0,41.0,0.0,0.0,0.2876712328767123,Low,Low SSR,2025-08-08,5.997189484680671,0.5293010742629318,331,Medium,3.709427356970039,0.011503413957988444,345,Medium
G7,4481,2025-08-15,ORD,GRR,2025-08-15 07:00:00+00:00,2025-08-15T09:07:00Z,2025-08-15 06:56:00+00:00,2025-08-15T09:01:00Z,50,CRJ-550,Express,644,632,29,-4.0,21.79310344827586,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,9.0,37.0,0.0,0.0,0.24324324324324326,Low,Low SSR,2025-08-15,27.7719744078393,0.37272924698999166,294,Medium,2.3919690084603644,0.012013948042718057,441,Easy
OO,5108,2025-08-14,ORD,SLN,2025-08-14 16:45:00+00:00,2025-08-14T18:50:00Z,2025-08-14 16:39:00+00:00,2025-08-14T18:33:00Z,50,CRJ-200,Express,85,82,29,-6.0,2.8275862068965516,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,41.0,3.0,18.0,0.02,41.0,0.07317073170731707,Medium,Very High SSR,2025-08-14,20.124730341004977,0.17121383588728792,407,Easy,-0.1569362663947944,0.007926376982946634,528,Easy
YX,3568,2025-08-15,ORD,YYZ,2025-08-15 10:50:00+00:00,2025-08-15T13:42:00Z,2025-08-15 10:48:00+00:00,2025-08-15T13:40:00Z,76,ERJ-175,Express,75,64,42,-2.0,1.5238095238095237,0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,2.0,46.0,4.0,19.0,0.02631578947368421,23.0,0.08695652173913043,High,Medium SSR,2025-08-15,25.836799325374333,0.3440656106305926,351,Medium,0.17098318040430835,0.007738788735986072,509,Easy
OO,4739,2025-08-03,ORD,GRB,2025-08-03 15:35:00+00:00,2025-08-03T16:48:00Z,2025-08-03 15:34:00+00:00,2025-08-03T16:40:00Z,50,CRJ-200,Express,69,63,29,-1.0,2.1724137931034484,0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,2.0,52.0,9.0,35.0,0.04,26.0,0.17307692307692307,High,Medium SSR,2025-08-03,17.68729963449595,0.3968553850602412,238,Medium,2.1326671736094216,0.02310034352271201,432,Easy
UA,664,2025-08-02,ORD,LGA,2025-08-02 16:00:00+00:00,2025-08-02T19:20:00Z,2025-08-02 16:01:00+00:00,2025-08-02T19:10:00Z,166,B737-800,Mainline,400,59,51,1.0,1.1568627450980393,0,9.0,0.0,6.0,6.0,1.0,6.0,6.0,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.6666666666666666,1.5,94.0,0.0,29.0,0.05421686746987952,10.444444444444445,0.0,Very High,High SSR,2025-08-02,-7.948845240190753,0.0,520,Easy,31.355932825325254,0.06629884735834654,73,Difficult
OO,5517,2025-08-04,ORD,PVD,2025-08-04 18:15:00+00:00,2025-08-04T21:54:00Z,2025-08-04 18:14:00+00:00,2025-08-04T21:40:00Z,76,ERJ-175,Express,87,86,34,-1.0,2.5294117647058822,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45.0,1.0,32.0,0.013157894736842105,45.0,0.022222222222222223,Medium,Very High SSR,2025-08-04,16.97021599845386,0.27648213128747534,289,Medium,2.065398713369717,0.01505384358987302,412,Easy
